region,GDP per capita (constant 2015 US$)
"Bolivia, Plurinational State of",1513.080241
Bolivia,1513.080241
"Bolivia, Plurinational State of",1574.507105
Bolivia,1574.507105
"Bolivia, Plurinational State of",1672.215897
Bolivia,1672.215897
"Bolivia, Plurinational State of",1709.316314
Bolivia,1709.316314
"Bolivia, Plurinational State of",1759.665163
Bolivia,1759.665163
"Bolivia, Plurinational State of",1808.31408
Bolivia,1808.31408
"Bolivia, Plurinational State of",1909.408772
Bolivia,1909.408772
"Bolivia, Plurinational State of",1974.33012
Bolivia,1974.33012
"Bolivia, Plurinational State of",1987.162648
Bolivia,1987.162648
"Bolivia, Plurinational State of",2085.03168
Bolivia,2085.03168
"Bolivia, Plurinational State of",2132.759008
Bolivia,2132.759008
"Bolivia, Plurinational State of",2188.880462
Bolivia,2188.880462
"Bolivia, Plurinational State of",2184.048696
Bolivia,2184.048696
"Bolivia, Plurinational State of",2138.528352
Bolivia,2138.528352
"Bolivia, Plurinational State of",2062.969044
Bolivia,2062.969044
"Bolivia, Plurinational State of",2023.879742
Bolivia,2023.879742
"Bolivia, Plurinational State of",1902.58589
Bolivia,1902.58589
"Bolivia, Plurinational State of",1787.052725
Bolivia,1787.052725
"Bolivia, Plurinational State of",1746.009485
Bolivia,1746.009485
"Bolivia, Plurinational State of",1680.794016
Bolivia,1680.794016
"Bolivia, Plurinational State of",1603.296963
Bolivia,1603.296963
"Bolivia, Plurinational State of",1608.403556
Bolivia,1608.403556
"Bolivia, Plurinational State of",1620.501035
Bolivia,1620.501035
"Bolivia, Plurinational State of",1646.809162
Bolivia,1646.809162
"Bolivia, Plurinational State of",1687.442722
Bolivia,1687.442722
"Bolivia, Plurinational State of",1739.854608
Bolivia,1739.854608
"Bolivia, Plurinational State of",1732.739114
Bolivia,1732.739114
"Bolivia, Plurinational State of",1770.776897
Bolivia,1770.776897
"Bolivia, Plurinational State of",1817.4734
Bolivia,1817.4734
"Bolivia, Plurinational State of",1866.65293
Bolivia,1866.65293
"Bolivia, Plurinational State of",1912.002257
Bolivia,1912.002257
"Bolivia, Plurinational State of",1970.168079
Bolivia,1970.168079
"Bolivia, Plurinational State of",2031.972203
Bolivia,2031.972203
"Bolivia, Plurinational State of",2003.861306
Bolivia,2003.861306
